Trip_ID,Driver_ID,Vehicle_ID,Trip_Date,accel_extremes_per_hour,gyro_extremes_per_hour,Attribution_Category,Evidence_Summary
T00083,D06,V06,2026-08-05,1.6666666666666667,6.666666666666667,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00085,D06,V06,2026-08-03,0.0,9.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00087,D06,V06,2026-08-05,1.6666666666666667,6.666666666666667,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00095,D07,V07,2026-07-31,7.142857142857143,4.285714285714286,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00142,D10,V10,2026-08-01,8.0,4.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00167,D12,V12,2026-08-06,18.46153846153846,4.615384615384615,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00169,D12,V12,2026-08-01,3.75,7.5,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00170,D12,V12,2026-08-04,1.3636363636363638,8.181818181818182,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00172,D12,V12,2026-08-02,0.0,8.181818181818182,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00174,D12,V12,2026-08-03,8.88888888888889,0.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00179,D12,V12,2026-08-02,5.714285714285714,8.571428571428571,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00180,D12,V12,2026-08-05,8.571428571428571,2.142857142857143,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00181,D13,V13,2026-08-06,5.853658536585366,7.317073170731708,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00183,D13,V13,2026-07-31,7.199999999999999,2.4,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00187,D13,V13,2026-08-03,0.0,10.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00188,D13,V13,2026-08-06,0.0,8.571428571428571,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00194,D13,V13,2026-08-04,4.615384615384615,6.9230769230769225,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00195,D13,V13,2026-07-31,8.108108108108107,4.864864864864865,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00196,D14,V14,2026-07-31,9.09090909090909,7.2727272727272725,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00198,D14,V14,2026-08-02,10.588235294117647,5.294117647058823,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00201,D14,V14,2026-08-05,18.75,5.625,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00202,D14,V14,2026-08-03,8.0,2.6666666666666665,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00204,D14,V14,2026-08-05,7.5,3.75,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00219,D15,V15,2026-08-04,2.857142857142857,7.142857142857143,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00230,D16,V16,2026-07-31,3.4285714285714284,8.571428571428571,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00241,D17,V17,2026-08-03,2.0,8.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00245,D17,V17,2026-08-04,6.153846153846153,7.692307692307692,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00273,D19,V19,2026-07-31,6.666666666666667,6.666666666666667,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00275,D19,V19,2026-07-31,16.0,8.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00276,D19,V19,2026-08-01,7.317073170731708,5.853658536585366,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00277,D19,V19,2026-07-31,13.846153846153845,4.615384615384615,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00278,D19,V19,2026-08-06,27.272727272727273,16.363636363636363,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00281,D19,V19,2026-08-06,0.0,9.23076923076923,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00282,D19,V19,2026-08-02,6.0,12.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00284,D19,V19,2026-08-06,4.0,12.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00298,D20,V20,2026-08-06,7.5,5.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00312,D21,V21,2026-08-05,3.5294117647058822,8.823529411764707,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00331,D23,V23,2026-08-02,9.333333333333334,4.0,VEHICLE-LINKED PATTERN,Vehicle V23 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00334,D23,V23,2026-08-06,8.571428571428571,4.285714285714286,VEHICLE-LINKED PATTERN,Vehicle V23 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00337,D23,V23,2026-08-01,6.666666666666667,6.666666666666667,VEHICLE-LINKED PATTERN,Vehicle V23 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00338,D23,V23,2026-08-05,9.545454545454547,1.3636363636363638,VEHICLE-LINKED PATTERN,Vehicle V23 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00340,D23,V23,2026-08-01,6.0,7.5,VEHICLE-LINKED PATTERN,Vehicle V23 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00341,D23,V23,2026-07-31,4.444444444444445,8.88888888888889,VEHICLE-LINKED PATTERN,Vehicle V23 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00343,D23,V23,2026-08-04,7.199999999999999,4.8,VEHICLE-LINKED PATTERN,Vehicle V23 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00345,D23,V23,2026-08-04,3.4285714285714284,6.857142857142857,VEHICLE-LINKED PATTERN,Vehicle V23 exhibits candidate sensor anomalies across multiple drivers (1 with other drivers).
T00352,D24,V24,2026-08-02,10.434782608695652,2.608695652173913,DRIVER-LINKED PATTERN,Driver D24 exhibits candidate anomalies across multiple vehicles (1 on other vehicles).
T00354,D24,V23,2026-08-01,10.90909090909091,6.818181818181818,JOINT DRIVER-VEHICLE CO-OCCURRENCE,Candidate anomalies present across both driver history (3) and vehicle history (8).
T00356,D24,V24,2026-08-04,10.5,4.5,DRIVER-LINKED PATTERN,Driver D24 exhibits candidate anomalies across multiple vehicles (1 on other vehicles).
T00360,D24,V24,2026-08-04,0.0,7.5,DRIVER-LINKED PATTERN,Driver D24 exhibits candidate anomalies across multiple vehicles (1 on other vehicles).
T00364,D25,V25,2026-08-04,9.23076923076923,4.615384615384615,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00370,D25,V25,2026-08-03,9.23076923076923,4.615384615384615,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00371,D25,V25,2026-07-31,10.0,13.333333333333334,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00379,D26,V26,2026-08-06,3.5294117647058822,7.0588235294117645,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00397,D27,V27,2026-08-05,4.285714285714286,8.571428571428571,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00406,D28,V28,2026-08-05,10.90909090909091,21.81818181818182,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Candidate anomaly appears isolated to a single driver-vehicle trip pair; evidence currently insufficient for persistent attribution.
T00435,D29,V02,2026-08-06,11.707317073170731,1.4634146341463414,VEHICLE-LINKED PATTERN,Vehicle V02 exhibits candidate sensor anomalies across multiple drivers (8 with other drivers).
