Vehicle_ID,Vehicle_Type,Make,Model,vehicle_age_years,Odometer_KM_Start_of_Week,Last_Service_Date,days_since_last_service,total_trips,total_distance_km,driving_hours,unique_drivers_count,accel_grav_dev_mean,accel_extremes_per_hour,gyro_mag_p95_mean,gyro_extremes_per_hour,interpretable_vehicle_score,isolation_score,hybrid_signal,percentile_rank,fleet_rank,vehicle_evidence_strength,persistence_score,elevated_day_ratio,vehicle_attribution,primary_reason,secondary_reason,maintenance_context_note,operational_explanation,recommended_action
V03,Two-Wheeler (Scooter/Motorcycle),Yamaha,Ray ZR,4,14883,2026-07-08,23,16,213.43,8.466666666666667,2,0.04642323814433024,5.199408591154122,19.618215716720737,4.164793645347625,70.01724137931035,34.48275862068966,59.35689655172414,65.51724137931035,11,MEDIUM,57.14285714285714,0.5714285714285714,VEHICLE-LINKED PATTERN,Rotational Rate is at the 89.7th fleet percentile (5.20 vibration extremes/hr).,Exposure-Normalized Extreme Vibration Rate is elevated at the 86.2th fleet percentile across 2 drivers.,"Contextual Maintenance: Last service was 23 days ago (Vehicle Age: 4 yrs, Odometer: 14,883 km).",Observed telemetry patterns reflect moderate fleet-relative variation (65.5th percentile). Recommend routine fleet service inspection.,Routine Fleet Monitoring
V15,Two-Wheeler (Scooter/Motorcycle),TVS,Ntorq,3,20041,2026-06-19,42,15,235.78,7.983333333333333,1,0.05295955597026693,2.703914085011646,18.81651233627054,4.190608298657079,60.86206896551724,51.724137931034484,58.12068965517241,62.06896551724138,12,HIGH,80.0,0.8,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Rotational Rate is at the 79.3th fleet percentile (2.70 vibration extremes/hr).,Acceleration Vibration Deviation is elevated at the 69.0th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 42 days ago (Vehicle Age: 3 yrs, Odometer: 20,041 km).",Observed telemetry patterns reflect moderate fleet-relative variation (62.1th percentile). Recommend routine fleet service inspection.,Routine Fleet Monitoring
V13,Two-Wheeler (Scooter/Motorcycle),Bajaj,Pulsar,1,22372,2026-07-01,30,15,201.62,7.183333333333334,1,0.05713968014698956,3.265057947253069,14.91215406919971,4.00689813714204,60.48275862068965,41.37931034482759,54.75172413793103,58.620689655172406,13,HIGH,80.0,0.8,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Acceleration Vibration Deviation is at the 86.2th fleet percentile (3.27 vibration extremes/hr).,Exposure-Normalized Extreme Vibration Rate is elevated at the 62.1th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 30 days ago (Vehicle Age: 1 yrs, Odometer: 22,372 km).",Observed telemetry patterns reflect moderate fleet-relative variation (58.6th percentile). Recommend routine fleet service inspection.,Routine Fleet Monitoring
V04,Two-Wheeler (Scooter/Motorcycle),Honda,Activa,6,5533,2026-07-19,12,15,203.01,7.916666666666667,1,0.03478069070302988,1.4777626537608388,19.750735249420305,3.764487122149144,39.55172413793104,65.51724137931035,47.341379310344834,55.172413793103445,14,MEDIUM,50.0,0.5,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Rotational Rate is at the 96.6th fleet percentile (1.48 vibration extremes/hr).,Exposure-Normalized Extreme Vibration Rate is elevated at the 34.5th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 12 days ago (Vehicle Age: 6 yrs, Odometer: 5,533 km).",Vehicle operates within normal baseline telemetry parameters (55.2th percentile). Standard routine monitoring.,Routine Fleet Monitoring
V28,Two-Wheeler (Scooter/Motorcycle),Ola,S1,3,17021,2026-06-23,38,16,221.82,7.083333333333333,2,0.04743337955489334,1.3706479397864135,8.570443310561673,2.430327166386372,50.53448275862069,24.137931034482758,42.61551724137931,51.724137931034484,15,MEDIUM,14.285714285714285,0.14285714285714285,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Multi-Driver Recurring Signal is at the 77.6th fleet percentile (1.37 vibration extremes/hr).,Acceleration Vibration Deviation is elevated at the 62.1th fleet percentile across 2 drivers.,"Contextual Maintenance: Last service was 38 days ago (Vehicle Age: 3 yrs, Odometer: 17,021 km).",Vehicle operates within normal baseline telemetry parameters (51.7th percentile). Standard routine monitoring.,Routine Fleet Monitoring
V20,Two-Wheeler (Scooter/Motorcycle),Yamaha,Ray ZR,3,8533,2026-07-23,8,15,189.45999999999998,6.333333333333333,1,0.04259687164460605,3.4013982843355945,16.04423384416241,3.7553603700722005,46.48275862068966,31.03448275862069,41.84827586206897,48.275862068965516,16,HIGH,71.42857142857143,0.7142857142857143,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Exposure-Normalized Extreme Vibration Rate is at the 65.5th fleet percentile (3.40 vibration extremes/hr).,Rotational Rate is elevated at the 65.5th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 8 days ago (Vehicle Age: 3 yrs, Odometer: 8,533 km).",Vehicle operates within normal baseline telemetry parameters (48.3th percentile). Standard routine monitoring.,Routine Fleet Monitoring
V09,Two-Wheeler (Scooter/Motorcycle),Hero,Splendor,6,14294,2026-07-24,7,17,267.28,7.416666666666667,3,0.03410975905267833,1.0379442483417503,5.456087600028862,0.8124187412917809,27.0,72.41379310344827,40.62413793103448,44.827586206896555,17,MEDIUM,0.0,0.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Multi-Driver Recurring Signal is at the 93.1th fleet percentile (1.04 vibration extremes/hr).,Acceleration Vibration Deviation is elevated at the 13.8th fleet percentile across 3 drivers.,"Contextual Maintenance: Last service was 7 days ago (Vehicle Age: 6 yrs, Odometer: 14,294 km).",Vehicle operates within normal baseline telemetry parameters (44.8th percentile). Standard routine monitoring.,Routine Fleet Monitoring
V30,Two-Wheeler (Scooter/Motorcycle),Bajaj,Pulsar,4,5127,2026-07-24,7,13,205.22,6.783333333333333,1,0.03719224582682569,1.7655982150493554,10.103934758880882,1.9056395114848106,32.96551724137931,48.275862068965516,37.55862068965517,41.37931034482759,18,MEDIUM,50.0,0.5,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Exposure-Normalized Extreme Vibration Rate is at the 44.8th fleet percentile (1.77 vibration extremes/hr).,Rotational Rate is elevated at the 34.5th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 7 days ago (Vehicle Age: 4 yrs, Odometer: 5,127 km).",Vehicle operates within normal baseline telemetry parameters (41.4th percentile). Standard routine monitoring.,Standard Monitoring / Insufficient Evidence
V26,Two-Wheeler (Scooter/Motorcycle),Bajaj,Pulsar,2,22871,2026-06-28,33,13,176.20999999999998,6.066666666666666,1,0.04675534234342205,1.623986872855651,9.210798897816684,2.234427000323642,44.51724137931034,20.689655172413794,37.36896551724137,37.93103448275862,19,LOW,33.33333333333333,0.3333333333333333,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Acceleration Vibration Deviation is at the 55.2th fleet percentile (1.62 vibration extremes/hr).,Exposure-Normalized Extreme Vibration Rate is elevated at the 37.9th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 33 days ago (Vehicle Age: 2 yrs, Odometer: 22,871 km).",Vehicle operates within normal baseline telemetry parameters (37.9th percentile). Standard routine monitoring.,Standard Monitoring / Insufficient Evidence
V21,Two-Wheeler (Scooter/Motorcycle),TVS,Raider,1,9558,2026-07-17,14,14,196.96,7.183333333333334,2,0.035073805645099564,1.3272724277028438,13.65048092169911,2.6994327697320664,35.53448275862069,37.93103448275862,36.25344827586207,34.48275862068966,20,MEDIUM,42.857142857142854,0.42857142857142855,VEHICLE-LINKED PATTERN,Multi-Driver Recurring Signal is at the 77.6th fleet percentile (1.33 vibration extremes/hr).,Rotational Rate is elevated at the 51.7th fleet percentile across 2 drivers.,"Contextual Maintenance: Last service was 14 days ago (Vehicle Age: 1 yrs, Odometer: 9,558 km).",Vehicle operates within normal baseline telemetry parameters (34.5th percentile). Standard routine monitoring.,Standard Monitoring / Insufficient Evidence
V05,Two-Wheeler (Scooter/Motorcycle),TVS,Raider,1,2727,2026-07-12,19,15,258.6,8.033333333333333,1,0.03625477394459883,1.060523938572719,5.983995891385221,1.7654309556748582,19.344827586206897,68.96551724137932,34.231034482758616,31.03448275862069,21,LOW,0.0,0.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Multi-Driver Recurring Signal is at the 31.0th fleet percentile (1.06 vibration extremes/hr).,Acceleration Vibration Deviation is elevated at the 27.6th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 19 days ago (Vehicle Age: 1 yrs, Odometer: 2,727 km).",Vehicle operates within normal baseline telemetry parameters (31.0th percentile). Standard routine monitoring.,Standard Monitoring / Insufficient Evidence
V16,Two-Wheeler (Scooter/Motorcycle),TVS,Raider,3,22089,2026-06-30,31,15,231.92,7.65,1,0.047122389783442964,1.2893496305908305,8.970269905049747,2.111667375699273,41.3448275862069,13.793103448275861,33.07931034482758,27.586206896551722,22,LOW,33.33333333333333,0.3333333333333333,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Acceleration Vibration Deviation is at the 58.6th fleet percentile (1.29 vibration extremes/hr).,Multi-Driver Recurring Signal is elevated at the 31.0th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 31 days ago (Vehicle Age: 3 yrs, Odometer: 22,089 km).",Vehicle operates within normal baseline telemetry parameters (27.6th percentile). Standard routine monitoring.,Standard Monitoring / Insufficient Evidence
V17,Two-Wheeler (Scooter/Motorcycle),Ola,S1,2,2639,2026-07-13,18,15,225.58,7.3,1,0.042379731221379426,2.5430712011357173,11.76785087598601,2.993896122928381,37.62068965517242,17.24137931034483,31.50689655172414,24.137931034482758,23,MEDIUM,42.857142857142854,0.42857142857142855,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Exposure-Normalized Extreme Vibration Rate is at the 48.3th fleet percentile (2.54 vibration extremes/hr).,Acceleration Vibration Deviation is elevated at the 41.4th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 18 days ago (Vehicle Age: 2 yrs, Odometer: 2,639 km).",Vehicle operates within normal baseline telemetry parameters (24.1th percentile). Standard routine monitoring.,Standard Monitoring / Insufficient Evidence
V11,Two-Wheeler (Scooter/Motorcycle),Suzuki,Access,6,11219,2026-07-09,22,15,197.43,5.95,1,0.03316947790223381,0.7784511784511785,5.958358941864509,0.857025857025857,17.310344827586206,62.06896551724138,30.737931034482756,20.689655172413794,24,LOW,16.666666666666664,0.16666666666666666,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Multi-Driver Recurring Signal is at the 31.0th fleet percentile (0.78 vibration extremes/hr).,Acceleration Vibration Deviation is elevated at the 3.4th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 22 days ago (Vehicle Age: 6 yrs, Odometer: 11,219 km).",Vehicle operates within normal baseline telemetry parameters (20.7th percentile). Standard routine monitoring.,Standard Monitoring / Insufficient Evidence
V08,Two-Wheeler (Scooter/Motorcycle),Hero,Splendor,5,11444,2026-07-12,19,15,214.18,7.766666666666667,1,0.04023037324011495,2.640458567411342,8.115017349083494,2.3750274928197457,38.862068965517246,10.344827586206897,30.306896551724137,17.24137931034483,25,MEDIUM,42.857142857142854,0.42857142857142855,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Exposure-Normalized Extreme Vibration Rate is at the 51.7th fleet percentile (2.64 vibration extremes/hr).,Acceleration Vibration Deviation is elevated at the 37.9th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 19 days ago (Vehicle Age: 5 yrs, Odometer: 11,444 km).",Vehicle operates within normal baseline telemetry parameters (17.2th percentile). Standard routine monitoring.,Standard Monitoring / Insufficient Evidence
V27,Two-Wheeler (Scooter/Motorcycle),Bajaj,Pulsar,4,14098,2026-07-10,21,15,169.88,6.1,1,0.039789364088062655,1.6857466288500769,13.13326499293419,2.9357230020214318,39.86206896551724,0.0,27.903448275862065,13.793103448275861,26,HIGH,66.66666666666666,0.6666666666666666,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Rotational Rate is at the 48.3th fleet percentile (1.69 vibration extremes/hr).,Exposure-Normalized Extreme Vibration Rate is elevated at the 41.4th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 21 days ago (Vehicle Age: 4 yrs, Odometer: 14,098 km).",Vehicle operates within normal baseline telemetry parameters (13.8th percentile). Standard routine monitoring.,Standard Monitoring / Insufficient Evidence
V22,Two-Wheeler (Scooter/Motorcycle),Honda,Activa,3,11264,2026-07-26,5,15,204.19,7.633333333333334,1,0.0336163712870413,1.185701998061314,6.752506179073551,1.2465685028302576,16.0,55.172413793103445,27.75172413793103,10.344827586206897,27,LOW,0.0,0.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Multi-Driver Recurring Signal is at the 31.0th fleet percentile (1.19 vibration extremes/hr).,Exposure-Normalized Extreme Vibration Rate is elevated at the 13.8th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 5 days ago (Vehicle Age: 3 yrs, Odometer: 11,264 km).",Vehicle operates within normal baseline telemetry parameters (10.3th percentile). Standard routine monitoring.,Standard Monitoring / Insufficient Evidence
V29,Two-Wheeler (Scooter/Motorcycle),TVS,Raider,5,14495,2026-07-10,21,9,143.29,4.883333333333334,2,0.03526392576664773,1.2321596532122845,7.7413254883011735,1.7349745770798402,34.362068965517246,3.4482758620689653,25.08793103448276,6.896551724137931,28,MEDIUM,0.0,0.0,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Multi-Driver Recurring Signal is at the 77.6th fleet percentile (1.23 vibration extremes/hr).,Acceleration Vibration Deviation is elevated at the 24.1th fleet percentile across 2 drivers.,"Contextual Maintenance: Last service was 21 days ago (Vehicle Age: 5 yrs, Odometer: 14,495 km).",Vehicle operates within normal baseline telemetry parameters (6.9th percentile). Standard routine monitoring.,Standard Monitoring / Insufficient Evidence
V18,Two-Wheeler (Scooter/Motorcycle),Ola,S1,7,9158,2026-07-08,23,15,193.75,6.666666666666667,1,0.033452394034471394,0.9804830257461836,8.56452632812361,1.799876965140123,22.586206896551726,27.586206896551722,24.086206896551722,3.4482758620689653,29,LOW,33.33333333333333,0.3333333333333333,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Multi-Driver Recurring Signal is at the 31.0th fleet percentile (0.98 vibration extremes/hr).,Rotational Rate is elevated at the 20.7th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 23 days ago (Vehicle Age: 7 yrs, Odometer: 9,158 km).",Vehicle operates within normal baseline telemetry parameters (3.4th percentile). Standard routine monitoring.,Standard Monitoring / Insufficient Evidence
V07,Two-Wheeler (Scooter/Motorcycle),Hero,Splendor,5,6030,2026-07-14,17,15,217.02,7.7,1,0.0327970891243887,1.2400769961745572,12.796807373198922,2.4489733092329473,24.06896551724138,6.896551724137931,18.917241379310347,0.0,30,LOW,28.57142857142857,0.2857142857142857,INSUFFICIENT EVIDENCE FOR ATTRIBUTION,Rotational Rate is at the 44.8th fleet percentile (1.24 vibration extremes/hr).,Multi-Driver Recurring Signal is elevated at the 31.0th fleet percentile across 1 drivers.,"Contextual Maintenance: Last service was 17 days ago (Vehicle Age: 5 yrs, Odometer: 6,030 km).",Vehicle operates within normal baseline telemetry parameters (0.0th percentile). Standard routine monitoring.,Standard Monitoring / Insufficient Evidence
